NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Daily Tide Predictions
StationName: Santa Barbara 
State: CA 
Stationid: 9411340
Prediction Type: Harmonic
From: 20200723 00:00 - 20200822 23:00
Units: Metric
Time Zone: LST_LDT
Datum: MLLW
Interval Type: Hourly

Date 		Day	Time	Pred	
2020/07/26	Sun	15:00	1.52	
2020/07/26	Sun	16:00	1.53	
2020/07/26	Sun	17:00	1.41	
2020/07/26	Sun	18:00	1.21	
2020/07/26	Sun	19:00	0.96	
2020/07/26	Sun	20:00	0.74	
2020/07/26	Sun	21:00	0.58	
2020/07/26	Sun	22:00	0.52	
2020/07/26	Sun	23:00	0.56	
2020/07/27	Mon	00:00	0.68	
2020/07/27	Mon	01:00	0.85	
2020/07/27	Mon	02:00	1.00	
2020/07/27	Mon	03:00	1.10	
2020/07/27	Mon	04:00	1.11	
2020/07/27	Mon	05:00	1.03	
2020/07/27	Mon	06:00	0.87	
2020/07/27	Mon	07:00	0.69	
2020/07/27	Mon	08:00	0.52	
2020/07/27	Mon	09:00	0.42	
2020/07/27	Mon	10:00	0.42	
2020/07/27	Mon	11:00	0.53	
2020/07/27	Mon	12:00	0.73	
2020/07/27	Mon	13:00	1.00	
2020/07/27	Mon	14:00	1.28	
2020/07/27	Mon	15:00	1.50	
2020/07/27	Mon	16:00	1.63	
2020/07/27	Mon	17:00	1.62	
2020/07/27	Mon	18:00	1.49	
2020/07/27	Mon	19:00	1.26	
2020/07/27	Mon	20:00	0.98	
2020/07/27	Mon	21:00	0.70	
2020/07/27	Mon	22:00	0.49	
2020/07/27	Mon	23:00	0.37	
2020/07/28	Tue	00:00	0.35	
2020/07/28	Tue	01:00	0.44	
2020/07/28	Tue	02:00	0.60	
2020/07/28	Tue	03:00	0.78	
2020/07/28	Tue	04:00	0.93	
2020/07/28	Tue	05:00	1.00	
2020/07/28	Tue	06:00	0.99	
2020/07/28	Tue	07:00	0.91	
2020/07/28	Tue	08:00	0.78	
2020/07/28	Tue	09:00	0.66	
2020/07/28	Tue	10:00	0.58	
2020/07/28	Tue	11:00	0.58	
2020/07/28	Tue	12:00	0.68	
2020/07/28	Tue	13:00	0.87	
2020/07/28	Tue	14:00	1.13	
2020/07/28	Tue	15:00	1.40	
2020/07/28	Tue	16:00	1.61	
2020/07/28	Tue	17:00	1.73	
2020/07/28	Tue	18:00	1.72	
2020/07/28	Tue	19:00	1.56	
2020/07/28	Tue	20:00	1.30	
2020/07/28	Tue	21:00	0.97	
2020/07/28	Tue	22:00	0.64	
2020/07/28	Tue	23:00	0.36	
2020/07/29	Wed	00:00	0.19	
2020/07/29	Wed	01:00	0.14	
2020/07/29	Wed	02:00	0.23	
2020/07/29	Wed	03:00	0.41	
2020/07/29	Wed	04:00	0.62	
2020/07/29	Wed	05:00	0.83	
2020/07/29	Wed	06:00	0.97	
2020/07/29	Wed	07:00	1.01	
2020/07/29	Wed	08:00	0.98	
2020/07/29	Wed	09:00	0.89	
2020/07/29	Wed	10:00	0.77	
2020/07/29	Wed	11:00	0.69	
2020/07/29	Wed	12:00	0.69	
2020/07/29	Wed	13:00	0.78	
2020/07/29	Wed	14:00	0.97	
2020/07/29	Wed	15:00	1.23	
2020/07/29	Wed	16:00	1.50	
2020/07/29	Wed	17:00	1.72	
2020/07/29	Wed	18:00	1.83	
2020/07/29	Wed	19:00	1.80	
2020/07/29	Wed	20:00	1.62	
2020/07/29	Wed	21:00	1.31	
2020/07/29	Wed	22:00	0.93	
2020/07/29	Wed	23:00	0.54	
2020/07/30	Thu	00:00	0.21	
2020/07/30	Thu	01:00	0.01	
2020/07/30	Thu	02:00	-0.04	
2020/07/30	Thu	03:00	0.06	
2020/07/30	Thu	04:00	0.28	
2020/07/30	Thu	05:00	0.55	
2020/07/30	Thu	06:00	0.81	
2020/07/30	Thu	07:00	0.99	
2020/07/30	Thu	08:00	1.08	
2020/07/30	Thu	09:00	1.06	
2020/07/30	Thu	10:00	0.97	
2020/07/30	Thu	11:00	0.85	
2020/07/30	Thu	12:00	0.76	
2020/07/30	Thu	13:00	0.75	
2020/07/30	Thu	14:00	0.84	
2020/07/30	Thu	15:00	1.04	
2020/07/30	Thu	16:00	1.31	
2020/07/30	Thu	17:00	1.59	
2020/07/30	Thu	18:00	1.81	
2020/07/30	Thu	19:00	1.92	
2020/07/30	Thu	20:00	1.86	
2020/07/30	Thu	21:00	1.64	
2020/07/30	Thu	22:00	1.28	
2020/07/30	Thu	23:00	0.84	
2020/07/31	Fri	00:00	0.41	
2020/07/31	Fri	01:00	0.06	
2020/07/31	Fri	02:00	-0.14	
2020/07/31	Fri	03:00	-0.17	
2020/07/31	Fri	04:00	-0.02	
2020/07/31	Fri	05:00	0.24	
2020/07/31	Fri	06:00	0.56	
2020/07/31	Fri	07:00	0.85	
2020/07/31	Fri	08:00	1.06	
2020/07/31	Fri	09:00	1.15	
2020/07/31	Fri	10:00	1.12	
2020/07/31	Fri	11:00	1.00	
2020/07/31	Fri	12:00	0.87	
2020/07/31	Fri	13:00	0.77	
2020/07/31	Fri	14:00	0.77	
2020/07/31	Fri	15:00	0.88	
2020/07/31	Fri	16:00	1.09	
2020/07/31	Fri	17:00	1.38	
2020/07/31	Fri	18:00	1.67	
2020/07/31	Fri	19:00	1.89	
2020/07/31	Fri	20:00	1.97	
2020/07/31	Fri	21:00	1.88	
2020/07/31	Fri	22:00	1.60	
2020/07/31	Fri	23:00	1.19	
2020/08/01	Sat	00:00	0.71	
2020/08/01	Sat	01:00	0.27	
2020/08/01	Sat	02:00	-0.07	
2020/08/01	Sat	03:00	-0.24	
2020/08/01	Sat	04:00	-0.22	
2020/08/01	Sat	05:00	-0.02	
2020/08/01	Sat	06:00	0.29	
2020/08/01	Sat	07:00	0.64	
2020/08/01	Sat	08:00	0.95	
2020/08/01	Sat	09:00	1.15	
2020/08/01	Sat	10:00	1.20	
2020/08/01	Sat	11:00	1.14	
2020/08/01	Sat	12:00	1.00	
2020/08/01	Sat	13:00	0.85	
2020/08/01	Sat	14:00	0.76	
2020/08/01	Sat	15:00	0.77	
2020/08/01	Sat	16:00	0.90	
2020/08/01	Sat	17:00	1.15	
2020/08/01	Sat	18:00	1.45	
2020/08/01	Sat	19:00	1.74	
2020/08/01	Sat	20:00	1.94	
2020/08/01	Sat	21:00	1.99	
2020/08/01	Sat	22:00	1.83	
2020/08/01	Sat	23:00	1.50	
2020/08/02	Sun	00:00	1.05	
2020/08/02	Sun	01:00	0.56	
2020/08/02	Sun	02:00	0.13	
2020/08/02	Sun	03:00	-0.16	
2020/08/02	Sun	04:00	-0.28	
2020/08/02	Sun	05:00	-0.19	
2020/08/02	Sun	06:00	0.06	
2020/08/02	Sun	07:00	0.41	
2020/08/02	Sun	08:00	0.77	
2020/08/02	Sun	09:00	1.06	
2020/08/02	Sun	10:00	1.22	
2020/08/02	Sun	11:00	1.23	
2020/08/02	Sun	12:00	1.12	
2020/08/02	Sun	13:00	0.95	
2020/08/02	Sun	14:00	0.80	
2020/08/02	Sun	15:00	0.72	
2020/08/02	Sun	16:00	0.76	
2020/08/02	Sun	17:00	0.93	
2020/08/02	Sun	18:00	1.21	
2020/08/02	Sun	19:00	1.52	
2020/08/02	Sun	20:00	1.80	
2020/08/02	Sun	21:00	1.96	
2020/08/02	Sun	22:00	1.94	
2020/08/02	Sun	23:00	1.73	
2020/08/03	Mon	00:00	1.36	
2020/08/03	Mon	01:00	0.89	
2020/08/03	Mon	02:00	0.41	
2020/08/03	Mon	03:00	0.02	
2020/08/03	Mon	04:00	-0.21	
2020/08/03	Mon	05:00	-0.24	
2020/08/03	Mon	06:00	-0.09	
2020/08/03	Mon	07:00	0.21	
2020/08/03	Mon	08:00	0.57	
2020/08/03	Mon	09:00	0.92	
2020/08/03	Mon	10:00	1.16	
2020/08/03	Mon	11:00	1.26	
2020/08/03	Mon	12:00	1.21	
2020/08/03	Mon	13:00	1.07	
2020/08/03	Mon	14:00	0.89	
2020/08/03	Mon	15:00	0.74	
2020/08/03	Mon	16:00	0.70	
2020/08/03	Mon	17:00	0.78	
2020/08/03	Mon	18:00	0.98	
2020/08/03	Mon	19:00	1.27	
2020/08/03	Mon	20:00	1.58	
2020/08/03	Mon	21:00	1.82	
2020/08/03	Mon	22:00	1.92	
2020/08/03	Mon	23:00	1.84	
2020/08/04	Tue	00:00	1.57	
2020/08/04	Tue	01:00	1.17	
2020/08/04	Tue	02:00	0.71	
2020/08/04	Tue	03:00	0.28	
2020/08/04	Tue	04:00	-0.04	
2020/08/04	Tue	05:00	-0.19	
2020/08/04	Tue	06:00	-0.14	
2020/08/04	Tue	07:00	0.07	
2020/08/04	Tue	08:00	0.40	
2020/08/04	Tue	09:00	0.76	
2020/08/04	Tue	10:00	1.06	
2020/08/04	Tue	11:00	1.24	
2020/08/04	Tue	12:00	1.27	
2020/08/04	Tue	13:00	1.17	
2020/08/04	Tue	14:00	1.00	
2020/08/04	Tue	15:00	0.82	
2020/08/04	Tue	16:00	0.70	
2020/08/04	Tue	17:00	0.69	
2020/08/04	Tue	18:00	0.81	
2020/08/04	Tue	19:00	1.04	
2020/08/04	Tue	20:00	1.33	
2020/08/04	Tue	21:00	1.60	
2020/08/04	Tue	22:00	1.79	
2020/08/04	Tue	23:00	1.82	
2020/08/05	Wed	00:00	1.68	
2020/08/05	Wed	01:00	1.38	
2020/08/05	Wed	02:00	0.98	
2020/08/05	Wed	03:00	0.55	
2020/08/05	Wed	04:00	0.18	
2020/08/05	Wed	05:00	-0.05	
2020/08/05	Wed	06:00	-0.10	
2020/08/05	Wed	07:00	0.01	
2020/08/05	Wed	08:00	0.28	
2020/08/05	Wed	09:00	0.61	
2020/08/05	Wed	10:00	0.94	
2020/08/05	Wed	11:00	1.17	
2020/08/05	Wed	12:00	1.28	
2020/08/05	Wed	13:00	1.25	
2020/08/05	Wed	14:00	1.11	
2020/08/05	Wed	15:00	0.93	
2020/08/05	Wed	16:00	0.76	
2020/08/05	Wed	17:00	0.68	
2020/08/05	Wed	18:00	0.71	
2020/08/05	Wed	19:00	0.86	
2020/08/05	Wed	20:00	1.09	
2020/08/05	Wed	21:00	1.36	
2020/08/05	Wed	22:00	1.58	
2020/08/05	Wed	23:00	1.70	
2020/08/06	Thu	00:00	1.67	
2020/08/06	Thu	01:00	1.48	
2020/08/06	Thu	02:00	1.17	
2020/08/06	Thu	03:00	0.79	
2020/08/06	Thu	04:00	0.43	
2020/08/06	Thu	05:00	0.15	
2020/08/06	Thu	06:00	0.01	
2020/08/06	Thu	07:00	0.04	
2020/08/06	Thu	08:00	0.22	
2020/08/06	Thu	09:00	0.50	
2020/08/06	Thu	10:00	0.81	
2020/08/06	Thu	11:00	1.08	
2020/08/06	Thu	12:00	1.25	
2020/08/06	Thu	13:00	1.29	
2020/08/06	Thu	14:00	1.21	
2020/08/06	Thu	15:00	1.05	
2020/08/06	Thu	16:00	0.87	
2020/08/06	Thu	17:00	0.73	
2020/08/06	Thu	18:00	0.68	
2020/08/06	Thu	19:00	0.74	
2020/08/06	Thu	20:00	0.90	
2020/08/06	Thu	21:00	1.12	
2020/08/06	Thu	22:00	1.34	
2020/08/06	Thu	23:00	1.50	
2020/08/07	Fri	00:00	1.56	
2020/08/07	Fri	01:00	1.48	
2020/08/07	Fri	02:00	1.27	
2020/08/07	Fri	03:00	0.98	
2020/08/07	Fri	04:00	0.65	
2020/08/07	Fri	05:00	0.37	
2020/08/07	Fri	06:00	0.18	
2020/08/07	Fri	07:00	0.14	
2020/08/07	Fri	08:00	0.23	
2020/08/07	Fri	09:00	0.44	
2020/08/07	Fri	10:00	0.72	
2020/08/07	Fri	11:00	0.99	
2020/08/07	Fri	12:00	1.19	
2020/08/07	Fri	13:00	1.30	
2020/08/07	Fri	14:00	1.28	
2020/08/07	Fri	15:00	1.17	
2020/08/07	Fri	16:00	1.00	
2020/08/07	Fri	17:00	0.83	
2020/08/07	Fri	18:00	0.72	
2020/08/07	Fri	19:00	0.70	
2020/08/07	Fri	20:00	0.77	
2020/08/07	Fri	21:00	0.92	
2020/08/07	Fri	22:00	1.10	
2020/08/07	Fri	23:00	1.27	
2020/08/08	Sat	00:00	1.37	
2020/08/08	Sat	01:00	1.38	
2020/08/08	Sat	02:00	1.28	
2020/08/08	Sat	03:00	1.08	
2020/08/08	Sat	04:00	0.83	
2020/08/08	Sat	05:00	0.58	
2020/08/08	Sat	06:00	0.38	
2020/08/08	Sat	07:00	0.28	
2020/08/08	Sat	08:00	0.31	
2020/08/08	Sat	09:00	0.44	
2020/08/08	Sat	10:00	0.66	
2020/08/08	Sat	11:00	0.91	
2020/08/08	Sat	12:00	1.12	
2020/08/08	Sat	13:00	1.27	
2020/08/08	Sat	14:00	1.32	
2020/08/08	Sat	15:00	1.26	
2020/08/08	Sat	16:00	1.13	
2020/08/08	Sat	17:00	0.97	
2020/08/08	Sat	18:00	0.82	
2020/08/08	Sat	19:00	0.72	
2020/08/08	Sat	20:00	0.71	
2020/08/08	Sat	21:00	0.77	
2020/08/08	Sat	22:00	0.89	
2020/08/08	Sat	23:00	1.02	
2020/08/09	Sun	00:00	1.14	
2020/08/09	Sun	01:00	1.21	
2020/08/09	Sun	02:00	1.19	
2020/08/09	Sun	03:00	1.10	
2020/08/09	Sun	04:00	0.94	
2020/08/09	Sun	05:00	0.75	
2020/08/09	Sun	06:00	0.58	
2020/08/09	Sun	07:00	0.46	
2020/08/09	Sun	08:00	0.43	
2020/08/09	Sun	09:00	0.50	
2020/08/09	Sun	10:00	0.65	
2020/08/09	Sun	11:00	0.84	
2020/08/09	Sun	12:00	1.05	
2020/08/09	Sun	13:00	1.22	
2020/08/09	Sun	14:00	1.32	
2020/08/09	Sun	15:00	1.33	
2020/08/09	Sun	16:00	1.25	
2020/08/09	Sun	17:00	1.12	
2020/08/09	Sun	18:00	0.96	
2020/08/09	Sun	19:00	0.82	
2020/08/09	Sun	20:00	0.72	
2020/08/09	Sun	21:00	0.70	
2020/08/09	Sun	22:00	0.73	
2020/08/09	Sun	23:00	0.81	
2020/08/10	Mon	00:00	0.90	
2020/08/10	Mon	01:00	0.99	
2020/08/10	Mon	02:00	1.03	
2020/08/10	Mon	03:00	1.03	
2020/08/10	Mon	04:00	0.96	
2020/08/10	Mon	05:00	0.86	
2020/08/10	Mon	06:00	0.74	
2020/08/10	Mon	07:00	0.64	
2020/08/10	Mon	08:00	0.58	
2020/08/10	Mon	09:00	0.59	
2020/08/10	Mon	10:00	0.68	
2020/08/10	Mon	11:00	0.82	
2020/08/10	Mon	12:00	0.99	
2020/08/10	Mon	13:00	1.16	
2020/08/10	Mon	14:00	1.29	
2020/08/10	Mon	15:00	1.36	
2020/08/10	Mon	16:00	1.35	
2020/08/10	Mon	17:00	1.26	
2020/08/10	Mon	18:00	1.12	
2020/08/10	Mon	19:00	0.96	
2020/08/10	Mon	20:00	0.81	
2020/08/10	Mon	21:00	0.70	
2020/08/10	Mon	22:00	0.64	
2020/08/10	Mon	23:00	0.64	
2020/08/11	Tue	00:00	0.68	
2020/08/11	Tue	01:00	0.75	
2020/08/11	Tue	02:00	0.83	
2020/08/11	Tue	03:00	0.89	
2020/08/11	Tue	04:00	0.91	
2020/08/11	Tue	05:00	0.90	
2020/08/11	Tue	06:00	0.85	
2020/08/11	Tue	07:00	0.79	
2020/08/11	Tue	08:00	0.74	
2020/08/11	Tue	09:00	0.71	
2020/08/11	Tue	10:00	0.74	
2020/08/11	Tue	11:00	0.82	
2020/08/11	Tue	12:00	0.94	
2020/08/11	Tue	13:00	1.09	
2020/08/11	Tue	14:00	1.24	
2020/08/11	Tue	15:00	1.35	
2020/08/11	Tue	16:00	1.41	
2020/08/11	Tue	17:00	1.39	
2020/08/11	Tue	18:00	1.29	
2020/08/11	Tue	19:00	1.14	
2020/08/11	Tue	20:00	0.96	
2020/08/11	Tue	21:00	0.78	
2020/08/11	Tue	22:00	0.63	
2020/08/11	Tue	23:00	0.54	
2020/08/12	Wed	00:00	0.50	
2020/08/12	Wed	01:00	0.53	
2020/08/12	Wed	02:00	0.60	
2020/08/12	Wed	03:00	0.70	
2020/08/12	Wed	04:00	0.79	
2020/08/12	Wed	05:00	0.87	
2020/08/12	Wed	06:00	0.90	
2020/08/12	Wed	07:00	0.90	
2020/08/12	Wed	08:00	0.87	
2020/08/12	Wed	09:00	0.84	
2020/08/12	Wed	10:00	0.82	
2020/08/12	Wed	11:00	0.84	
2020/08/12	Wed	12:00	0.91	
2020/08/12	Wed	13:00	1.02	
2020/08/12	Wed	14:00	1.17	
2020/08/12	Wed	15:00	1.31	
2020/08/12	Wed	16:00	1.43	
2020/08/12	Wed	17:00	1.48	
2020/08/12	Wed	18:00	1.45	
2020/08/12	Wed	19:00	1.33	
2020/08/12	Wed	20:00	1.15	
2020/08/12	Wed	21:00	0.94	
2020/08/12	Wed	22:00	0.71	
2020/08/12	Wed	23:00	0.52	
2020/08/13	Thu	00:00	0.39	
2020/08/13	Thu	01:00	0.34	
2020/08/13	Thu	02:00	0.38	
2020/08/13	Thu	03:00	0.48	
2020/08/13	Thu	04:00	0.62	
2020/08/13	Thu	05:00	0.77	
2020/08/13	Thu	06:00	0.89	
2020/08/13	Thu	07:00	0.96	
2020/08/13	Thu	08:00	0.97	
2020/08/13	Thu	09:00	0.95	
2020/08/13	Thu	10:00	0.91	
2020/08/13	Thu	11:00	0.88	
2020/08/13	Thu	12:00	0.89	
2020/08/13	Thu	13:00	0.96	
2020/08/13	Thu	14:00	1.08	
2020/08/13	Thu	15:00	1.24	
2020/08/13	Thu	16:00	1.40	
2020/08/13	Thu	17:00	1.52	
2020/08/13	Thu	18:00	1.57	
2020/08/13	Thu	19:00	1.53	
2020/08/13	Thu	20:00	1.38	
2020/08/13	Thu	21:00	1.15	
2020/08/13	Thu	22:00	0.87	
2020/08/13	Thu	23:00	0.59	
2020/08/14	Fri	00:00	0.36	
2020/08/14	Fri	01:00	0.22	
2020/08/14	Fri	02:00	0.19	
2020/08/14	Fri	03:00	0.26	
2020/08/14	Fri	04:00	0.42	
2020/08/14	Fri	05:00	0.61	
2020/08/14	Fri	06:00	0.81	
2020/08/14	Fri	07:00	0.96	
2020/08/14	Fri	08:00	1.04	
2020/08/14	Fri	09:00	1.05	
2020/08/14	Fri	10:00	1.00	
2020/08/14	Fri	11:00	0.93	
2020/08/14	Fri	12:00	0.88	
2020/08/14	Fri	13:00	0.89	
2020/08/14	Fri	14:00	0.97	
2020/08/14	Fri	15:00	1.12	
2020/08/14	Fri	16:00	1.32	
2020/08/14	Fri	17:00	1.51	
2020/08/14	Fri	18:00	1.65	
2020/08/14	Fri	19:00	1.69	
2020/08/14	Fri	20:00	1.60	
2020/08/14	Fri	21:00	1.40	
2020/08/14	Fri	22:00	1.09	
2020/08/14	Fri	23:00	0.75	
2020/08/15	Sat	00:00	0.42	
2020/08/15	Sat	01:00	0.18	
2020/08/15	Sat	02:00	0.05	
2020/08/15	Sat	03:00	0.06	
2020/08/15	Sat	04:00	0.20	
2020/08/15	Sat	05:00	0.42	
2020/08/15	Sat	06:00	0.67	
2020/08/15	Sat	07:00	0.90	
2020/08/15	Sat	08:00	1.06	
2020/08/15	Sat	09:00	1.12	
2020/08/15	Sat	10:00	1.09	
2020/08/15	Sat	11:00	1.00	
2020/08/15	Sat	12:00	0.89	
2020/08/15	Sat	13:00	0.84	
2020/08/15	Sat	14:00	0.86	
2020/08/15	Sat	15:00	0.98	
2020/08/15	Sat	16:00	1.18	
2020/08/15	Sat	17:00	1.42	
2020/08/15	Sat	18:00	1.64	
2020/08/15	Sat	19:00	1.78	
2020/08/15	Sat	20:00	1.80	
2020/08/15	Sat	21:00	1.66	
2020/08/15	Sat	22:00	1.37	
2020/08/15	Sat	23:00	0.99	
2020/08/16	Sun	00:00	0.59	
2020/08/16	Sun	01:00	0.23	
2020/08/16	Sun	02:00	-0.00	
2020/08/16	Sun	03:00	-0.09	
2020/08/16	Sun	04:00	-0.01	
2020/08/16	Sun	05:00	0.20	
2020/08/16	Sun	06:00	0.49	
2020/08/16	Sun	07:00	0.78	
2020/08/16	Sun	08:00	1.02	
2020/08/16	Sun	09:00	1.16	
2020/08/16	Sun	10:00	1.17	
2020/08/16	Sun	11:00	1.08	
2020/08/16	Sun	12:00	0.94	
2020/08/16	Sun	13:00	0.82	
2020/08/16	Sun	14:00	0.77	
2020/08/16	Sun	15:00	0.82	
2020/08/16	Sun	16:00	0.99	
2020/08/16	Sun	17:00	1.25	
2020/08/16	Sun	18:00	1.54	
2020/08/16	Sun	19:00	1.78	
2020/08/16	Sun	20:00	1.91	
2020/08/16	Sun	21:00	1.88	
2020/08/16	Sun	22:00	1.66	
2020/08/16	Sun	23:00	1.29	
2020/08/17	Mon	00:00	0.85	
2020/08/17	Mon	01:00	0.41	
2020/08/17	Mon	02:00	0.05	
2020/08/17	Mon	03:00	-0.15	
2020/08/17	Mon	04:00	-0.17	
2020/08/17	Mon	05:00	-0.02	
2020/08/17	Mon	06:00	0.27	
2020/08/17	Mon	07:00	0.62	
2020/08/17	Mon	08:00	0.93	
2020/08/17	Mon	09:00	1.16	
2020/08/17	Mon	10:00	1.24	
2020/08/17	Mon	11:00	1.18	
2020/08/17	Mon	12:00	1.03	
2020/08/17	Mon	13:00	0.85	
2020/08/17	Mon	14:00	0.72	
2020/08/17	Mon	15:00	0.69	
2020/08/17	Mon	16:00	0.79	
2020/08/17	Mon	17:00	1.02	
2020/08/17	Mon	18:00	1.33	
2020/08/17	Mon	19:00	1.66	
2020/08/17	Mon	20:00	1.90	
2020/08/17	Mon	21:00	2.00	
2020/08/17	Mon	22:00	1.90	
2020/08/17	Mon	23:00	1.60	
2020/08/18	Tue	00:00	1.17	
2020/08/18	Tue	01:00	0.68	
2020/08/18	Tue	02:00	0.23	
2020/08/18	Tue	03:00	-0.10	
2020/08/18	Tue	04:00	-0.24	
2020/08/18	Tue	05:00	-0.18	
2020/08/18	Tue	06:00	0.06	
2020/08/18	Tue	07:00	0.42	
2020/08/18	Tue	08:00	0.79	
2020/08/18	Tue	09:00	1.10	
2020/08/18	Tue	10:00	1.28	
2020/08/18	Tue	11:00	1.29	
2020/08/18	Tue	12:00	1.16	
2020/08/18	Tue	13:00	0.96	
2020/08/18	Tue	14:00	0.75	
2020/08/18	Tue	15:00	0.61	
2020/08/18	Tue	16:00	0.61	
2020/08/18	Tue	17:00	0.77	
2020/08/18	Tue	18:00	1.05	
2020/08/18	Tue	19:00	1.41	
2020/08/18	Tue	20:00	1.74	
2020/08/18	Tue	21:00	1.97	
2020/08/18	Tue	22:00	2.02	
2020/08/18	Tue	23:00	1.85	
2020/08/19	Wed	00:00	1.48	
2020/08/19	Wed	01:00	1.01	
2020/08/19	Wed	02:00	0.51	
2020/08/19	Wed	03:00	0.08	
2020/08/19	Wed	04:00	-0.18	
2020/08/19	Wed	05:00	-0.24	
2020/08/19	Wed	06:00	-0.09	
2020/08/19	Wed	07:00	0.22	
2020/08/19	Wed	08:00	0.61	
2020/08/19	Wed	09:00	0.99	
2020/08/19	Wed	10:00	1.26	
2020/08/19	Wed	11:00	1.37	
2020/08/19	Wed	12:00	1.31	
2020/08/19	Wed	13:00	1.12	
2020/08/19	Wed	14:00	0.87	
2020/08/19	Wed	15:00	0.64	
2020/08/19	Wed	16:00	0.52	
2020/08/19	Wed	17:00	0.56	
2020/08/19	Wed	18:00	0.76	
2020/08/19	Wed	19:00	1.07	
2020/08/19	Wed	20:00	1.45	
2020/08/19	Wed	21:00	1.77	
2020/08/19	Wed	22:00	1.96	
2020/08/19	Wed	23:00	1.95	
2020/08/20	Thu	00:00	1.72	
2020/08/20	Thu	01:00	1.33	
2020/08/20	Thu	02:00	0.84	
2020/08/20	Thu	03:00	0.37	
2020/08/20	Thu	04:00	0.00	
2020/08/20	Thu	05:00	-0.18	
2020/08/20	Thu	06:00	-0.15	
